index,len_payload,fernet_enc,fernet_dec,rsa_enc,rsa_dec
136,162,2.649999805726111e-05,2.1400017431005836e-05,3.6999990697950125e-05,0.00031430000672116876
137,182,2.649999805726111e-05,2.160001895390451e-05,3.649998689070344e-05,0.0003139000036753714
138,167,2.6399997295811772e-05,2.13000166695565e-05,3.679998917505145e-05,0.00032300001475960016
139,173,2.780000795610249e-05,2.160001895390451e-05,3.7600024370476604e-05,0.00031469998066313565
140,180,2.680000034160912e-05,2.2000021999701858e-05,3.680001827888191e-05,0.00031430000672116876
141,174,2.710000262595713e-05,2.139998832717538e-05,3.689998993650079e-05,0.0003149000112898648
142,171,2.7600006433203816e-05,2.19999928958714e-05,3.6900019040331244e-05,0.000314799981424585
143,180,3.57000099029392e-05,2.1500018192455173e-05,3.740002284757793e-05,0.0003148999821860343
144,164,2.680000034160912e-05,2.1499989088624716e-05,3.689998993650079e-05,0.0003144000074826181
145,164,2.6299996534362435e-05,2.13000166695565e-05,3.6299985367804766e-05,0.00033000000985339284
146,186,3.2499985536560416e-05,2.3600005079060793e-05,3.9300008211284876e-05,0.0003414000093471259
147,165,3.170000854879618e-05,2.1899992134422064e-05,3.9300008211284876e-05,0.0003232999879401177
148,176,2.850001328624785e-05,2.169999061152339e-05,3.739999374374747e-05,0.0003155999875161797
149,163,2.720000338740647e-05,2.1499989088624716e-05,3.6999990697950125e-05,0.00031450000824406743
150,169,2.5699991965666413e-05,2.1299987565726042e-05,3.680001827888191e-05,0.00031419997685588896
151,176,2.6699999580159783e-05,2.169999061152339e-05,3.6500015994533896e-05,0.0003234999894630164
152,177,6.850002682767808e-05,4.099999205209315e-05,5.7600002037361264e-05,0.0003378999826963991
153,170,3.409999771974981e-05,2.5199988158419728e-05,3.980001201853156e-05,0.00031609999132342637
154,181,2.8600014047697186e-05,2.169999061152339e-05,3.8300000596791506e-05,0.0003294000052846968
155,186,2.7400004910305142e-05,2.239999594166875e-05,3.759999526664615e-05,0.00033420001273043454
156,174,2.9799994081258774e-05,2.260002656839788e-05,3.920000744983554e-05,0.0003183000080753118
157,164,2.710000262595713e-05,2.1899992134422064e-05,3.6699988413602114e-05,0.00031430000672116876
158,163,2.6599998818710446e-05,2.1299987565726042e-05,3.689998993650079e-05,0.00031450000824406743
159,165,2.6600027922540903e-05,2.1299987565726042e-05,3.6999990697950125e-05,0.0003225000109523535
160,167,2.7499976567924023e-05,2.160001895390451e-05,3.71999922208488e-05,0.0007849000103306025
161,172,2.6399997295811772e-05,2.3999979021027684e-05,3.710002056322992e-05,0.0003167999966535717
162,170,2.680000034160912e-05,2.1499989088624716e-05,3.6500015994533896e-05,0.0003145999799016863
163,178,2.6599998818710446e-05,2.1000014385208488e-05,4.4199987314641476e-05,0.00031510001281276345
164,176,2.729997504502535e-05,2.1400017431005836e-05,3.6699988413602114e-05,0.0003144000074826181
165,166,2.6900001103058457e-05,2.1400017431005836e-05,3.709999145939946e-05,0.00031469998066313565
166,166,2.680000034160912e-05,2.139998832717538e-05,3.670001751743257e-05,0.00031469998066313565
167,162,2.680000034160912e-05,2.169999061152339e-05,3.6600016755983233e-05,0.00032289998489432037
168,176,2.7999980375170708e-05,2.13000166695565e-05,3.7699996028095484e-05,0.00031499998294748366
169,170,2.6699999580159783e-05,2.1499989088624716e-05,3.689998993650079e-05,0.0003141000051982701
170,168,2.61999957729131e-05,2.099998528137803e-05,3.630001447163522e-05,0.0003140999760944396
